,Unnamed: 0,author_review_count,rating,title,date,location,body,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Seat Storage,Recommended,airline_slug,airline,Viewing Tv Screen,Power Supply,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy,cleaned_body,scores,pos_score,neu_score,neg_score,compound_score
10,10,0.0,0.1,"""expected some comfort""",2015-07-23,United Kingdom,At 6 foot tall I am not that big by western standards. I expected some comfort but I couldn't find any. My seat didn't recline and I couldn't sleep because I had to stretch my legs into the aisle due to the legroom but didn't want my feet running over by the trolley. (Standard seat pitch on AirAsia is 28-29 inches for these short haul aircraft),Economy Class,A320,3x3,June 2015,Solo Leisure,0.2,0.2,0.4,0.4,0.4,no,airasia,AirAsia,,,,,,,,foot tall big western standard expected comfort find seat recline sleep stretch leg aisle due legroom foot running trolley standard seat pitch airasia inch short haul aircraft,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}",0.088,0.912,0.0,0.3612
11,11,1.0,0.8,TUI Airways Seat Review by Noah Wesselby,2022-02-03,United Kingdom,"The seat on the TUI Boeing 787-9 is very good after using 4 times long and short haul, I flew 9:30 to Jamaica in 2019 and the seat did get a bit cramped but that’s expected really after that time. The TV is acceptable but is not the biggest but does the job with an acceptable amount of content. The recline was pretty average. Overall the TUI Economy 787 seat was just above average quality and works great",Economy Class,Boeing 787-9,3x3x3,October 2021,Family Leisure,1.0,0.8,0.8,0.8,0.8,True,kunming-airlines,Kunming Airlines,0.8,0.8,,,,,,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,"{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.9363}",0.331,0.669,0.0,0.9363
12,12,7.0,0.3,"""hard to have a good sleep on""",2021-01-19,India,"The seats were firm and were hard to have a good sleep on (I was able to too because of the 2 AM departure time). While the seats are said to be lie-flat, I don't think they were and it was hard to sleep in the complete ""lie-flat"" position. A blanket was provided but I had to ask for a pillow on the flight. The sets of 3 on the last 2 rows are reserved for cabin crew to use as rest-areas which reduces the amount of noise around your seats if seated there and also increases privacy. The seat was the longest or widest making it hard to stretch out or sleep in a fetal position. You will have to step over your neighbour if they happen to be in a lie-flat position which can be painful at times. A snack bag was provided as were 2 hot meals, all of which tasted pretty good. The IFE screen lagged a lot and there were barely any options to watch on the IFE screen (I recommend carrying your own entertainment devices) and the headphones were terrible (Recommend carrying your own) Wouldn't recommend this flight unless there ae no other suitable options.",Business Class,Boeing 777-300 ER,2x3x2,January 2021,Leisure,,,,,0.2,no,air-india,Air India,,0.4,0.4,0.6,0.4,0.4,0.4,seat firm hard good sleep able departure time seat said lie flat think hard sleep complete lie flat position blanket provided ask pillow flight set last row reserved cabin crew use rest area reduces amount noise around seat seated increase privacy seat longest widest making hard stretch sleep fetal position step neighbour happen lie flat position painful time snack bag provided hot meal tasted pretty good ife screen lagged lot barely option watch ife screen recommend carrying entertainment device headphone terrible recommend carrying recommend flight unless ae suitable option,"{'neg': 0.114, 'neu': 0.688, 'pos': 0.198, 'compound': 0.8807}",0.198,0.688,0.114,0.8807
13,13,7.0,0.7,"""seat was comfortable and wide enough""",2021-01-19,India,"A fairly typical layout for business class on a Boeing 787. The seats are made of fabric and are comfortable. You can adjust the firmness of the seat and there is a massage feature (fairly basic though). One sandwich was provided on the 1.5-hour flight from Hyderabad to Delhi which is reasonable considering the duration of the flight and the fact this trip was during the COVID pandemic. The seat was comfortable and wide enough for me to expect a good sleep, a minor inconvenience would be having to step over your neighbour if you happen to have one. All in all, a nice flight",Business Class,Boeing 787-8,2x2x2,January 2021,Leisure,,,,,0.6,True,air-india,Air India,,,0.8,0.8,1.0,1.0,0.6,fairly typical layout business class boeing seat made fabric comfortable adjust firmness seat massage feature fairly basic though sandwich provided hour flight hyderabad delhi reasonable considering duration flight fact trip covid pandemic seat comfortable wide enough expect good sleep minor inconvenience would step neighbour happen nice flight,"{'neg': 0.044, 'neu': 0.739, 'pos': 0.217, 'compound': 0.8689}",0.217,0.739,0.044,0.8689
14,14,0.0,0.6,"""eat width a little restricted""",2019-05-18,Poland,"Seats generally clean and in good form. Leg room and seat width a little restricted. I'm an average sized guy but surely some people I know who are a little ""larger"" would definitely have a taxing experience.",Economy Class,A320,3-3,May 2019,Couple Leisure,0.6,0.6,0.6,0.8,0.6,True,air-india,Air India,,,,,,,,seat generally clean good form leg room seat width little restricted average sized guy surely people know little larger would definitely taxing experience,"{'neg': 0.074, 'neu': 0.576, 'pos': 0.35, 'compound': 0.8238}",0.35,0.576,0.074,0.8238
15,15,1.0,1.0,"""leg space was very good""",2017-10-20,United States,"The Boeing 787-8 seats were very comfortable.  Nice interior, the leg space was very good, large overhead bin. IFE had good movies and tv shows. The screen was big, picture quality was good, too. Overall, very good aircraft with comfortable seating, entertainment and storage.",Economy Class,Boeing 787-8,3x3x3,October 2017,Solo Leisure,1.0,1.0,1.0,1.0,1.0,True,air-india,Air India,1.0,1.0,,,,,,boeing seat comfortable nice interior leg space good large overhead ife good movie tv show screen big picture quality good overall good aircraft comfortable seating entertainment storage,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9712}",0.556,0.444,0.0,0.9712
16,16,4.0,1.0,"""legroom was good""",2017-10-16,United Arab Emirates,"Boeing 787-8, super seats, great lighting, good in-flight entertainment system, width of the seats were really good, the legroom was good, really good cushioned seats with pillow. Loved the experience, I sat on the aisle seat the accessibility of the seats are good also the storage space above.",Economy Class,Boeing 787-8,3x3x3,July 2017,Solo Leisure,1.0,1.0,1.0,1.0,1.0,True,air-india,Air India,1.0,1.0,,,,,,boeing super seat great lighting good flight entertainment system width seat really good legroom good really good cushioned seat pillow loved experience sat aisle seat accessibility seat good storage space,"{'neg': 0.0, 'neu': 0.418, 'pos': 0.582, 'compound': 0.9821}",0.582,0.418,0.0,0.9821
17,17,2.0,0.9,"""leg room in economy the best""",2016-09-25,India,"I travelled from Mumbai to HKG, which has stopover and change of flight in Delhi. The Mumbai to Delhi aircraft was narrow body A319, which was delayed by 2 hrs due to late availability of the captain and we were made to rush in Delhi to catch the connecting flight. The Boeing 787 was a pleasant surprise. Especially the leg room in economy was the best I have come across till date. The LCD panels for IFE was beautifully designed in order not to impede the viewing, if the person in front reclines.",Economy Class,Boeing 787-8,3x3x3,October 2015,Solo Leisure,1.0,1.0,0.8,0.8,0.8,no,air-india,Air India,0.8,0.8,,,,,,travelled mumbai hkg stopover change flight delhi mumbai delhi aircraft narrow body delayed hr due late availability captain made rush delhi catch connecting flight boeing pleasant surprise especially leg room economy best across date lcd panel ife beautifully designed order impede viewing person front reclines,"{'neg': 0.034, 'neu': 0.725, 'pos': 0.241, 'compound': 0.9081}",0.241,0.725,0.034,0.9081
18,18,1.0,0.7,"""more space and less crowd""",2015-12-05,India,Air India is one the airlines which use the 3x3x3 configuration on their B777's which is great and results in more space and less crowd. Seats have decent Legroom. The only problem in B777's seats are they are sometimes dirty. IFE mostly don't work and the content is not good anyway.,Economy Class,Boeing 777-200LR,3x3x3,November 2015,Solo Leisure,0.8,0.8,1.0,0.8,0.2,True,air-india,Air India,0.2,0.2,,,,,,air india airline use configuration great result space le crowd seat decent legroom problem seat sometimes dirty ife mostly work content good anyway,"{'neg': 0.177, 'neu': 0.601, 'pos': 0.222, 'compound': 0.34}",0.222,0.601,0.177,0.34
19,19,0.0,0.2,"""seats were dirty and torn""",2015-03-22,Australia,The seats were dirty and torn there was no inflight entertainment the food served was a disgrace and not eaten by anyone near me. The pockets for magazines etc facing me were all torn away and hanging by a thread. The plane was an hour and half late never any apology or explanation - just accept this is the way it is. Finally the crew were surly disinterested and impolite.,Economy Class,AIRBUS A319,3x3,,,0.4,0.6,0.4,0.4,,no,air-india,Air India,0.2,,,,,,,seat dirty torn inflight entertainment food served disgrace eaten anyone near pocket magazine etc facing torn away hanging thread plane hour half late never apology explanation accept way finally crew surly disinterested impolite,"{'neg': 0.366, 'neu': 0.57, 'pos': 0.064, 'compound': -0.8815}",0.064,0.57,0.366,-0.8815
20,20,0.0,0.2,"""seat width however was horrible""",2013-04-25,Germany,It was a bulkhead seat (17H on 777-300ER) right behind the business class cabin. Seat recline is ok and legroom is good. The seat width however was horrible. First reduced due to the tray table in armrest on top of that the remote for entertainment console is also placed in armrest and the holder pokes about an inch into the seat. Uncomfortable to get in or out of the seat and nearly impossible to reposition yourself without getting out if you are slightly on the heavier side. Better for people who feel comfortable in 16 inch seat width. The entertainment screen is folded on a swiveling arm which folds behind your feet. It was quite hard to move it into position (joints were hard) and amazingly the joint which is supposed to holed the screen upright was super smooth! At initial deployment of the screen I had just started watching something with my legs crossed over each other and the screen fell (swiveled on a horizontal axis at the bottom side of the screen) and hit my shin quite hard. For the rest of the flight I was rubbing my shin (and keeping the blanket folded many times on my leg to prevent any further injury due to the screen). I forgot to mention that the controls in the remote which was poking my thigh did not function. Not just on my seat at least 6 more seats around me had the same issue. Thankfully the touchscreen menu on the personal screen was working which enabled me to watch a movie (not much more as the system response was very sluggish and music browse menu quite user unfriendly to use satisfactorily).,Economy Class,BOEING 777-300,3x3x3,,,0.8,0.4,0.2,0.4,,no,air-india,Air India,0.2,,,,,,,bulkhead seat right behind business class cabin seat recline ok legroom good seat width however horrible first reduced due tray table armrest top remote entertainment console placed armrest holder poke inch seat uncomfortable get seat nearly impossible reposition without getting slightly heavier side better people feel comfortable inch seat width entertainment screen folded swiveling arm fold behind foot quite hard move position joint hard amazingly joint supposed holed screen upright super smooth initial deployment screen started watching something leg crossed screen fell swiveled horizontal axis bottom side screen hit shin quite hard rest flight rubbing shin keeping blanket folded many time leg prevent injury due screen forgot mention control remote poking thigh function seat least seat around issue thankfully touchscreen menu personal screen working enabled watch movie much system response sluggish music browse menu quite user unfriendly use satisfactorily,"{'neg': 0.116, 'neu': 0.713, 'pos': 0.171, 'compound': 0.8548}",0.171,0.713,0.116,0.8548
21,21,0.0,0.4,"""personal monitors were out of service""",2011-04-05,United States,"The personal monitors were out of service on both my wife's and mine on the way out. On the way back the monitor's front screen was cracked and mine was not working. We were seated on the ""exit"" row and could not see the front main screen as it very fuzzy and working intermittently.",Economy Class,Boeing 777ER,3x4x3,,,0.6,0.6,0.6,0.8,,no,air-india,Air India,0.2,,,,,,,personal monitor service wife way way back monitor front screen cracked working seated exit row could see front main screen fuzzy working intermittently,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
22,22,0.0,0.7,"""seats were comfortable""",2009-01-13,United States,"Relatively new 777-200LR. The seats were comfortable for most of the flight but towards the end of the 15 hour flight they got a little stiff. The recline was ok. Another 1-2 inches of recline would've been great. I'm 6'2"" tall and found the legroom to be adequate. Not great but adequate. The aisle seat would be the best bet for tall people. The middle and window seats had some footspace taken away because there was a box mounted beneath the seat in front of the passenger.",Economy Class,B777-200ER,3x3x3,,,0.8,0.6,0.8,0.8,,True,air-india,Air India,0.8,,,,,,,relatively new lr seat comfortable flight towards hour flight got little stiff recline ok another inch recline would great tall found legroom adequate great adequate aisle seat would best bet tall people middle window seat footspace taken away box mounted beneath seat front passenger,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.9658}",0.367,0.633,0.0,0.9658
23,23,1.0,1.0,"""pay $30 for an exit seat""",2019-07-26,Israel,This is a low-cost airline so everything is extra. I chose to pay $30 for an exit seat. Best $30 I ever spent. Had so much leg room.,Economy Class,Boeing 737-800,3x3,July 2019,Solo Leisure,1.0,0.8,1.0,1.0,0.8,True,sun-country-airlines,Sun Country Airlines,,1.0,,,,,,low cost airline everything extra chose pay exit seat best ever spent much leg room,"{'neg': 0.178, 'neu': 0.609, 'pos': 0.213, 'compound': 0.4019}",0.213,0.609,0.178,0.4019
24,24,0.0,0.9,"""I would recommend this seat""",2018-01-08,United States,"Seat 16A was a great place to spend two flights that took me across the country (Boston-Seattle, connection in Minneapolis). The legroom was pretty great compared to some of the other US airlines I’ve flown recently. The seat width was also comfortable for an average-sized person. I was pretty blown away by the underseat storage. I managed to cram a very full duffle bag underneath and still have room on either side for my feet to spread out. No IFE or WiFi or anything like that in the cabin, but bring something to read and some music and you’re fine to go! I would recommend this seat.",Economy Class,Boeing 737-700,3x3,January 2018,Solo Leisure,0.8,0.8,0.8,0.8,1.0,True,sun-country-airlines,Sun Country Airlines,,,,,,,,seat great place spend two flight took across country boston seattle connection minneapolis legroom pretty great compared u airline flown recently seat width comfortable average sized person pretty blown away underseat storage managed cram full duffle bag underneath still room either side foot spread ife wifi anything like cabin bring something read music fine go would recommend seat,"{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.9741}",0.335,0.665,0.0,0.9741
25,25,0.0,1.0,"""with excellent privacy",2019-06-21,France,"New seat configuration on the A350 is brilliant, a suite type seat (you can close the door) with excellent privacy - the seat is really spacious ans comfy. The only weakness of China eastern is the food that is not at the level of other airlines (Even if it is in the menu, they don't have starter but only main course on this flight).",Business Class,A350,1x2x1,June 2019,Business,,,,,1.0,True,china-eastern-airlines,China Eastern Airlines,,1.0,1.0,1.0,1.0,1.0,1.0,new seat configuration brilliant suite type seat close excellent privacy seat really spacious an comfy weakness china eastern food level airline even menu starter main course flight,"{'neg': 0.082, 'neu': 0.7, 'pos': 0.219, 'compound': 0.6908}",0.219,0.7,0.082,0.6908
26,26,0.0,0.9,"""in a 1-2-1 configuration""",2019-05-28,Hong Kong,The China Eastern A350 Business Class comes in a 1-2-1 configuration. Each business class seat features a door which turns it more into a suite rather than a seat. The cabin is very similar to China Eastern's new 787-9. The business class features 36 seats in total and all of them have a direct aisle access. An entertainment system with responsive screens. It also offers an USB and power outlet and a remote control to operate the seat and IFE.,Business Class,A350-900,1x2x1,April 2019,Leisure,,,,,0.8,True,china-eastern-airlines,China Eastern Airlines,,1.0,0.8,1.0,1.0,1.0,1.0,china eastern business class come configuration business class seat feature turn suite rather seat cabin similar china eastern new business class feature seat total direct aisle access entertainment system responsive screen offer usb power outlet remote control operate seat ife,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.6486}",0.122,0.878,0.0,0.6486
27,27,0.0,0.2,"""seat kept reclining back""",2017-08-11,Japan,"No headphones were provided on any of the 4 flights I was on between Tokyo and Xian via Shanghai. A seat in front of me kept reclining back toward me even if the passenger did not do so intentionally. When I pointed this out to one of the female cabin attendants, she said nothing. At least she could have taken a note as to which seat # would need to be fixed.",Economy Class,A330,2 x 4 x 2,August 2017,Business,0.6,0.2,0.6,0.4,0.2,no,china-eastern-airlines,China Eastern Airlines,,,,,,,,headphone provided flight tokyo xian via shanghai seat front kept reclining back toward even passenger intentionally pointed female cabin attendant said nothing least could taken note seat would need fixed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
28,28,0.0,0.5,"""Legroom was adequate """,2017-07-13,United States,Seat 39D. The Boeing 777 seemed new and was very clean. I like Aisle seats so I chose this one and was pleasantly surprised to have no one sitting next to me. Standard economy seat. The legroom was adequate and no one beside me so I could stretch out. IFE had a reasonable selection but was a little difficult to work. The food was standard airline fare but was reasonable. After the first 8 hours the seat started to feel a little hard and I had to get up and walk around several times. Legroom was adequate and what I expected for economy. Temperature was a little warmer than what I like but it was bearable. Overall it was a standard economy seat on a long flight and was about what I expected.,Economy Class,Boeing 777-300,3x4x3,September 2016,Solo Leisure,0.6,0.6,0.6,0.8,0.6,True,china-eastern-airlines,China Eastern Airlines,0.6,,,,,,,seat boeing seemed new clean like aisle seat chose pleasantly surprised sitting next standard economy seat legroom adequate beside could stretch ife reasonable selection little difficult work food standard airline fare reasonable first hour seat started feel little hard get walk around several time legroom adequate expected economy temperature little warmer like bearable overall standard economy seat long flight expected,"{'neg': 0.046, 'neu': 0.697, 'pos': 0.257, 'compound': 0.92}",0.257,0.697,0.046,0.92
29,29,0.0,0.4,"""low segment airline""",2016-11-07,Netherlands,"I told the China Eastern Airlines that I am disabled, have a double total hip replacement and MS. On my trip from Amsterdam to BKK I had enough legspace because I have spasms when have a narrow seat. But in AMS they checked me in on an aisle seat so that was ok. However, on my way back from BKK to AMS I asked the not so polite attendant if I could sit 2 places forward for my legs. She said I had to stay down in the seat. After a couple of hours I wanted to go to sleep a bit, but unlucky they had given me a seat by the emercency exit and those chairs can't be placed in the sleeping position, so 11 hour straight up in a flying fridge was very uncomfortable, and took me a couple of days to recover.  I have flown with many companies, and this is a low segment airline, not so friendly staff, and in my case the most terrible place to sit.",Economy Class,A330,2x4x2,November 2016,Solo Leisure,0.4,0.2,0.8,0.8,0.6,no,china-eastern-airlines,China Eastern Airlines,0.6,0.8,,,,,,told china eastern airline disabled double total hip replacement m trip amsterdam bkk enough legspace spasm narrow seat am checked aisle seat ok however way back bkk am asked polite attendant could place forward leg said stay seat couple hour wanted go sleep bit unlucky given seat emercency exit chair placed sleeping position hour straight flying fridge uncomfortable took couple day recover flown many company low segment airline friendly staff case terrible place,"{'neg': 0.096, 'neu': 0.814, 'pos': 0.09, 'compound': -0.128}",0.09,0.814,0.096,-0.128
30,30,0.0,0.7,"""the same as other long haul""",2016-10-22,United States,"Los Angeles to Seoul via Shanghai.  The Boeing 777 was very clean and looked new. The flight was maybe 70% full and there was extra space in many rows. I had an aisle seat and an empty seat next to me so had some extra room. Seats were about the same as other long haul I have been on. After about 8-10 hours they start feeling a little hard. Leg room was as I would expect in economy and IFE was adequate. Food was reasonably good for airline food and drinks were offered through the flight. Only downside was the flight attendants were - don't think I ever saw a smile.  Best thing about the flight was the price.  The stopover hotel is another story - don't do it. Just stay in the airport, or pay for your own room at an airport hotel.",Economy Class,Boeing 777-300,3x4x3,September 2016,Solo Leisure,0.6,0.6,0.6,0.6,0.6,True,china-eastern-airlines,China Eastern Airlines,0.8,0.8,,,,,,angeles seoul via shanghai boeing clean looked new flight maybe full extra space many row aisle seat empty seat next extra room seat long haul hour start feeling little hard leg room would expect economy ife adequate food reasonably good airline food drink offered flight downside flight attendant think ever saw smile best thing flight price stopover another story stay airport pay room airport,"{'neg': 0.083, 'neu': 0.71, 'pos': 0.207, 'compound': 0.8858}",0.207,0.71,0.083,0.8858
31,31,0.0,0.7,"""satisfied with the service""",2016-10-17,Czech Republic,"Prague to Tokyo via Shanghai on A330 I was really satisfied with the service, on-board entertainment, food, crew. Everything was very good, comparable with European and American airlines. I read really bad reviews before the flight but reality was so different. I recommend it to everyone! One thing I don't understand is that all mobile phones are not allowed during the whole flight, but that's chinese law.",Economy Class,A330,2x4x2,September 2016,Solo Leisure,0.8,0.6,0.6,0.6,0.8,True,china-eastern-airlines,China Eastern Airlines,0.6,0.6,,,,,,prague tokyo via shanghai really satisfied service board entertainment food crew everything good comparable european american airline read really bad review flight reality different recommend everyone thing understand mobile phone allowed whole flight chinese law,"{'neg': 0.084, 'neu': 0.665, 'pos': 0.25, 'compound': 0.7579}",0.25,0.665,0.084,0.7579
