author_review_count,rating,title,date,location,body,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Seat Storage,Recommended,airline_slug,airline,Viewing Tv Screen,Power Supply,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy
7.0,0.3,"""hard to have a good sleep on""",2021-01-19,India,"The seats were firm and were hard to have a good sleep on (I was able to too because of the 2 AM departure time). While the seats are said to be lie-flat, I don't think they were and it was hard to sleep in the complete ""lie-flat"" position. A blanket was provided but I had to ask for a pillow on the flight. The sets of 3 on the last 2 rows are reserved for cabin crew to use as rest-areas which reduces the amount of noise around your seats if seated there and also increases privacy. The seat was the longest or widest making it hard to stretch out or sleep in a fetal position. You will have to step over your neighbour if they happen to be in a lie-flat position which can be painful at times. A snack bag was provided as were 2 hot meals, all of which tasted pretty good. The IFE screen lagged a lot and there were barely any options to watch on the IFE screen (I recommend carrying your own entertainment devices) and the headphones were terrible (Recommend carrying your own) Wouldn't recommend this flight unless there ae no other suitable options.",Business Class,Boeing 777-300 ER,2x3x2,January 2021,Leisure,,,,,0.2,no,air-india,Air India,,0.4,0.4,0.6,0.4,0.4,0.4
7.0,0.7,"""seat was comfortable and wide enough""",2021-01-19,India,"A fairly typical layout for business class on a Boeing 787. The seats are made of fabric and are comfortable. You can adjust the firmness of the seat and there is a massage feature (fairly basic though). One sandwich was provided on the 1.5-hour flight from Hyderabad to Delhi which is reasonable considering the duration of the flight and the fact this trip was during the COVID pandemic. The seat was comfortable and wide enough for me to expect a good sleep, a minor inconvenience would be having to step over your neighbour if you happen to have one. All in all, a nice flight",Business Class,Boeing 787-8,2x2x2,January 2021,Leisure,,,,,0.6,True,air-india,Air India,,,0.8,0.8,1.0,1.0,0.6
0.0,0.6,"""eat width a little restricted""",2019-05-18,Poland,"Seats generally clean and in good form. Leg room and seat width a little restricted. I'm an average sized guy but surely some people I know who are a little ""larger"" would definitely have a taxing experience.",Economy Class,A320,3-3,May 2019,Couple Leisure,0.6,0.6,0.6,0.8,0.6,True,air-india,Air India,,,,,,,
1.0,1.0,"""leg space was very good""",2017-10-20,United States,"The Boeing 787-8 seats were very comfortable.  Nice interior, the leg space was very good, large overhead bin. IFE had good movies and tv shows. The screen was big, picture quality was good, too. Overall, very good aircraft with comfortable seating, entertainment and storage.",Economy Class,Boeing 787-8,3x3x3,October 2017,Solo Leisure,1.0,1.0,1.0,1.0,1.0,True,air-india,Air India,1.0,1.0,,,,,
4.0,1.0,"""legroom was good""",2017-10-16,United Arab Emirates,"Boeing 787-8, super seats, great lighting, good in-flight entertainment system, width of the seats were really good, the legroom was good, really good cushioned seats with pillow. Loved the experience, I sat on the aisle seat the accessibility of the seats are good also the storage space above.",Economy Class,Boeing 787-8,3x3x3,July 2017,Solo Leisure,1.0,1.0,1.0,1.0,1.0,True,air-india,Air India,1.0,1.0,,,,,
2.0,0.9,"""leg room in economy the best""",2016-09-25,India,"I travelled from Mumbai to HKG, which has stopover and change of flight in Delhi. The Mumbai to Delhi aircraft was narrow body A319, which was delayed by 2 hrs due to late availability of the captain and we were made to rush in Delhi to catch the connecting flight. The Boeing 787 was a pleasant surprise. Especially the leg room in economy was the best I have come across till date. The LCD panels for IFE was beautifully designed in order not to impede the viewing, if the person in front reclines.",Economy Class,Boeing 787-8,3x3x3,October 2015,Solo Leisure,1.0,1.0,0.8,0.8,0.8,no,air-india,Air India,0.8,0.8,,,,,
1.0,0.7,"""more space and less crowd""",2015-12-05,India,Air India is one the airlines which use the 3x3x3 configuration on their B777's which is great and results in more space and less crowd. Seats have decent Legroom. The only problem in B777's seats are they are sometimes dirty. IFE mostly don't work and the content is not good anyway.,Economy Class,Boeing 777-200LR,3x3x3,November 2015,Solo Leisure,0.8,0.8,1.0,0.8,0.2,True,air-india,Air India,0.2,0.2,,,,,
0.0,0.2,"""seats were dirty and torn""",2015-03-22,Australia,The seats were dirty and torn there was no inflight entertainment the food served was a disgrace and not eaten by anyone near me. The pockets for magazines etc facing me were all torn away and hanging by a thread. The plane was an hour and half late never any apology or explanation - just accept this is the way it is. Finally the crew were surly disinterested and impolite.,Economy Class,AIRBUS A319,3x3,,,0.4,0.6,0.4,0.4,,no,air-india,Air India,0.2,,,,,,
0.0,0.2,"""seat width however was horrible""",2013-04-25,Germany,It was a bulkhead seat (17H on 777-300ER) right behind the business class cabin. Seat recline is ok and legroom is good. The seat width however was horrible. First reduced due to the tray table in armrest on top of that the remote for entertainment console is also placed in armrest and the holder pokes about an inch into the seat. Uncomfortable to get in or out of the seat and nearly impossible to reposition yourself without getting out if you are slightly on the heavier side. Better for people who feel comfortable in 16 inch seat width. The entertainment screen is folded on a swiveling arm which folds behind your feet. It was quite hard to move it into position (joints were hard) and amazingly the joint which is supposed to holed the screen upright was super smooth! At initial deployment of the screen I had just started watching something with my legs crossed over each other and the screen fell (swiveled on a horizontal axis at the bottom side of the screen) and hit my shin quite hard. For the rest of the flight I was rubbing my shin (and keeping the blanket folded many times on my leg to prevent any further injury due to the screen). I forgot to mention that the controls in the remote which was poking my thigh did not function. Not just on my seat at least 6 more seats around me had the same issue. Thankfully the touchscreen menu on the personal screen was working which enabled me to watch a movie (not much more as the system response was very sluggish and music browse menu quite user unfriendly to use satisfactorily).,Economy Class,BOEING 777-300,3x3x3,,,0.8,0.4,0.2,0.4,,no,air-india,Air India,0.2,,,,,,
0.0,0.4,"""personal monitors were out of service""",2011-04-05,United States,"The personal monitors were out of service on both my wife's and mine on the way out. On the way back the monitor's front screen was cracked and mine was not working. We were seated on the ""exit"" row and could not see the front main screen as it very fuzzy and working intermittently.",Economy Class,Boeing 777ER,3x4x3,,,0.6,0.6,0.6,0.8,,no,air-india,Air India,0.2,,,,,,
0.0,0.7,"""seats were comfortable""",2009-01-13,United States,"Relatively new 777-200LR. The seats were comfortable for most of the flight but towards the end of the 15 hour flight they got a little stiff. The recline was ok. Another 1-2 inches of recline would've been great. I'm 6'2"" tall and found the legroom to be adequate. Not great but adequate. The aisle seat would be the best bet for tall people. The middle and window seats had some footspace taken away because there was a box mounted beneath the seat in front of the passenger.",Economy Class,B777-200ER,3x3x3,,,0.8,0.6,0.8,0.8,,True,air-india,Air India,0.8,,,,,,
1.0,1.0,"""pay $30 for an exit seat""",2019-07-26,Israel,This is a low-cost airline so everything is extra. I chose to pay $30 for an exit seat. Best $30 I ever spent. Had so much leg room.,Economy Class,Boeing 737-800,3x3,July 2019,Solo Leisure,1.0,0.8,1.0,1.0,0.8,True,sun-country-airlines,Sun Country Airlines,,1.0,,,,,
0.0,0.9,"""I would recommend this seat""",2018-01-08,United States,"Seat 16A was a great place to spend two flights that took me across the country (Boston-Seattle, connection in Minneapolis). The legroom was pretty great compared to some of the other US airlines I’ve flown recently. The seat width was also comfortable for an average-sized person. I was pretty blown away by the underseat storage. I managed to cram a very full duffle bag underneath and still have room on either side for my feet to spread out. No IFE or WiFi or anything like that in the cabin, but bring something to read and some music and you’re fine to go! I would recommend this seat.",Economy Class,Boeing 737-700,3x3,January 2018,Solo Leisure,0.8,0.8,0.8,0.8,1.0,True,sun-country-airlines,Sun Country Airlines,,,,,,,
0.0,1.0,"""with excellent privacy",2019-06-21,France,"New seat configuration on the A350 is brilliant, a suite type seat (you can close the door) with excellent privacy - the seat is really spacious ans comfy. The only weakness of China eastern is the food that is not at the level of other airlines (Even if it is in the menu, they don't have starter but only main course on this flight).",Business Class,A350,1x2x1,June 2019,Business,,,,,1.0,True,china-eastern-airlines,China Eastern Airlines,,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.9,"""in a 1-2-1 configuration""",2019-05-28,Hong Kong,The China Eastern A350 Business Class comes in a 1-2-1 configuration. Each business class seat features a door which turns it more into a suite rather than a seat. The cabin is very similar to China Eastern's new 787-9. The business class features 36 seats in total and all of them have a direct aisle access. An entertainment system with responsive screens. It also offers an USB and power outlet and a remote control to operate the seat and IFE.,Business Class,A350-900,1x2x1,April 2019,Leisure,,,,,0.8,True,china-eastern-airlines,China Eastern Airlines,,1.0,0.8,1.0,1.0,1.0,1.0
0.0,0.2,"""seat kept reclining back""",2017-08-11,Japan,"No headphones were provided on any of the 4 flights I was on between Tokyo and Xian via Shanghai. A seat in front of me kept reclining back toward me even if the passenger did not do so intentionally. When I pointed this out to one of the female cabin attendants, she said nothing. At least she could have taken a note as to which seat # would need to be fixed.",Economy Class,A330,2 x 4 x 2,August 2017,Business,0.6,0.2,0.6,0.4,0.2,no,china-eastern-airlines,China Eastern Airlines,,,,,,,
0.0,0.5,"""Legroom was adequate """,2017-07-13,United States,Seat 39D. The Boeing 777 seemed new and was very clean. I like Aisle seats so I chose this one and was pleasantly surprised to have no one sitting next to me. Standard economy seat. The legroom was adequate and no one beside me so I could stretch out. IFE had a reasonable selection but was a little difficult to work. The food was standard airline fare but was reasonable. After the first 8 hours the seat started to feel a little hard and I had to get up and walk around several times. Legroom was adequate and what I expected for economy. Temperature was a little warmer than what I like but it was bearable. Overall it was a standard economy seat on a long flight and was about what I expected.,Economy Class,Boeing 777-300,3x4x3,September 2016,Solo Leisure,0.6,0.6,0.6,0.8,0.6,True,china-eastern-airlines,China Eastern Airlines,0.6,,,,,,
0.0,0.4,"""low segment airline""",2016-11-07,Netherlands,"I told the China Eastern Airlines that I am disabled, have a double total hip replacement and MS. On my trip from Amsterdam to BKK I had enough legspace because I have spasms when have a narrow seat. But in AMS they checked me in on an aisle seat so that was ok. However, on my way back from BKK to AMS I asked the not so polite attendant if I could sit 2 places forward for my legs. She said I had to stay down in the seat. After a couple of hours I wanted to go to sleep a bit, but unlucky they had given me a seat by the emercency exit and those chairs can't be placed in the sleeping position, so 11 hour straight up in a flying fridge was very uncomfortable, and took me a couple of days to recover.  I have flown with many companies, and this is a low segment airline, not so friendly staff, and in my case the most terrible place to sit.",Economy Class,A330,2x4x2,November 2016,Solo Leisure,0.4,0.2,0.8,0.8,0.6,no,china-eastern-airlines,China Eastern Airlines,0.6,0.8,,,,,
0.0,0.7,"""the same as other long haul""",2016-10-22,United States,"Los Angeles to Seoul via Shanghai.  The Boeing 777 was very clean and looked new. The flight was maybe 70% full and there was extra space in many rows. I had an aisle seat and an empty seat next to me so had some extra room. Seats were about the same as other long haul I have been on. After about 8-10 hours they start feeling a little hard. Leg room was as I would expect in economy and IFE was adequate. Food was reasonably good for airline food and drinks were offered through the flight. Only downside was the flight attendants were - don't think I ever saw a smile.  Best thing about the flight was the price.  The stopover hotel is another story - don't do it. Just stay in the airport, or pay for your own room at an airport hotel.",Economy Class,Boeing 777-300,3x4x3,September 2016,Solo Leisure,0.6,0.6,0.6,0.6,0.6,True,china-eastern-airlines,China Eastern Airlines,0.8,0.8,,,,,
0.0,0.7,"""satisfied with the service""",2016-10-17,Czech Republic,"Prague to Tokyo via Shanghai on A330 I was really satisfied with the service, on-board entertainment, food, crew. Everything was very good, comparable with European and American airlines. I read really bad reviews before the flight but reality was so different. I recommend it to everyone! One thing I don't understand is that all mobile phones are not allowed during the whole flight, but that's chinese law.",Economy Class,A330,2x4x2,September 2016,Solo Leisure,0.8,0.6,0.6,0.6,0.8,True,china-eastern-airlines,China Eastern Airlines,0.6,0.6,,,,,
0.0,0.9,"""comfort was very good""",2016-10-06,Thailand,Our flight was from Chendu to Bangkok. The check in was slow but competent. Terminal 1 is the older terminal but the departure area has been modernized. Our flight was operated by an A319. The interior was a blue and white scheme and the cabin immaculate. Seat pitch and comfort was very good. The cerw looked professional and greeted us in English. Service included two drink offers and a hot meal.  We did not eat by choice so have no comment on the meals.,Economy Class,A319,3X3,October 2016,Couple Leisure,1.0,0.8,0.8,0.8,0.8,True,china-eastern-airlines,China Eastern Airlines,0.2,,,,,,
0.0,0.1,"""services are so poor""",2013-04-20,South Korea,ICN-PVG-LHR and CDG-PVG-ICN. I sat near lavatory and it make some sounds like crash when people after use lavatory. Overall MU services are so poor.,Economy Class,AIRBUS A330,2x4x2,,,0.6,0.4,0.6,0.4,,no,china-eastern-airlines,China Eastern Airlines,0.4,,,,,,
0.0,0.4,"""attendants are plentiful and responsive""",2013-04-20,United States,Flew China Eastern March-April 2013 - 7 times during a three week trip including roundtrip from LAX- Shanghai and five trips within China including Hong Kong- Shanghai (round trip)  Shanghai-Beijing Beijing-Xi'an Xi'an-Chengdu. The airline batted 100 percent in three categories: None of the flights were on time. All of the food was pretty bad (even for airplane food standards) and all the in-flight entertainment was outdated or physically unviewable. We did have one recent American film shown and it was great - but it was a 1.5 hour flight so they cut it off before the ending. They are quick to warn you regarding turbulence and the flight attendants are plentiful and responsive. Best meal was the Chinese breakfast of yogurt fruit and pork and chicken dumplings. Drinks are frequently served  but beer/wine if at all available runs out quickly (but it is free in economy). No hard alcohol in economy.,Economy Class,AIRBUS A340,2x4x2,,,0.6,0.4,0.6,0.4,,no,china-eastern-airlines,China Eastern Airlines,0.2,,,,,,
0.0,0.3,"""no PTV or AVOD very poor""",2011-08-10,United States,No PTV or AVOD very poor. All we could do is watch main screen clips and listen to poor music.,Economy Class,A340-300,2x4x2,,,0.8,0.6,0.8,0.6,,no,china-eastern-airlines,China Eastern Airlines,0.2,,,,,,
1.0,0.8,TUI Airways Seat Review by Noah Wesselby,2022-02-03,United Kingdom,"The seat on the TUI Boeing 787-9 is very good after using 4 times long and short haul, I flew 9:30 to Jamaica in 2019 and the seat did get a bit cramped but that’s expected really after that time. The TV is acceptable but is not the biggest but does the job with an acceptable amount of content. The recline was pretty average. Overall the TUI Economy 787 seat was just above average quality and works great",Economy Class,Boeing 787-9,3x3x3,October 2021,Family Leisure,1.0,0.8,0.8,0.8,0.8,True,donghai-airlines,Donghai Airlines,0.8,0.8,,,,,
1.0,0.8,TUI Airways Seat Review by Noah Wesselby,2022-02-03,United Kingdom,"The seat on the TUI Boeing 787-9 is very good after using 4 times long and short haul, I flew 9:30 to Jamaica in 2019 and the seat did get a bit cramped but that’s expected really after that time. The TV is acceptable but is not the biggest but does the job with an acceptable amount of content. The recline was pretty average. Overall the TUI Economy 787 seat was just above average quality and works great",Economy Class,Boeing 787-9,3x3x3,October 2021,Family Leisure,1.0,0.8,0.8,0.8,0.8,True,capital-airlines,Capital Airlines,0.8,0.8,,,,,
5.0,0.9,"""Surprisingly good food""",2019-09-23,Australia,Surprisingly good food for a short flight to Melbourne. The staff were attentive and super chirpy. They had an issue with the microphone not working from the front of the plane and it was fun watching them deftly work around that with good humor. Recommended.,Business Class,Boeing 737-800,2x2,September 2019,Business,,,,,0.8,True,virgin-australia,Virgin Australia,,1.0,0.8,0.8,0.8,0.8,0.6
0.0,0.1,"""force taller people to upgrade""",2017-08-27,Australia,"We paid a premium price to fly Virgin Australia economy from Brisbane to Denpasar return in July. We could have flown Malindo Air or Jetstar for $200 per ticket cheaper but preferred Virgins flight times. Big mistake. They use an aircraft that should be on regional flights, not international flights with only enough legroom for anyone under five foot six tall. They force us taller people to upgrade to economy X at an extra cost of $69 each. Their economy X seats have the legroom of standard economy on most other international aircrafts. I have renamed Virgin's economy class to sardine class. Economy X to cattle class and anyone who fly's business class has more money than sense. None of these classes are value for money.  Then they send us emails to bid for an upgrade to their idea of business class at an extra minimum cost of $250 per seat. They have reduced the legroom of the economy seats to a ridiculous width to fit in the economy X seats at the front of the plane behind business class. The solution to me is also obvious. Take a row of economy X seats out and increase the width of the economy seats back to what they should be. They will reduce their revenue from the loss of a row of economy X seats but have happy customers in economy again. Their economy seating configuration should be illegal.",Economy Class,Boeing 737-800,3x3,August 2017,Couple Leisure,0.2,0.6,0.4,0.2,0.2,no,virgin-australia,Virgin Australia,,,,,,,
0.0,0.2,"""will have troubles to fit in""",2017-08-24,Slovakia,"If you are anything above 170cm height you will have troubles to fit in and sit comfortably in Economy seats. Additionally my partner's seat recline did not work at all. There is no in-flight entertainment on screen, you just can download the app and watch on your phone, however there is no place where you can fit your phone properly so you need to hold it in your hand for few hours if you wanna enjoy the IFE.",Economy Class,Boeing 737-800,3x3,August 2017,Couple Leisure,0.2,0.2,0.4,0.6,0.6,no,virgin-australia,Virgin Australia,,,,,,,
0.0,0.8,"""plenty of leg room in 15A/15C""",2017-05-02,Australia,"As a couple we were made to feel special for our first premium economy trip from Brisbane to LAX and return. We really appreciated the Fantastic friendly, personal service, the real glassware, cutlery and cloth napkins, and hot cleansing towels a treat. Seats were wide and comfortable, plenty of leg room in 15A/15C. Both trips were not very busy in PE so it was quiet and a real pleasure to feel cocooned in our personalised cabin. I told the attendants that VA should change the class name to pure premium. Economy doesn't do it justice. The food and beverage quality was terrific, more than I expected and I love my food and a good Pinot noir!",Premium Economy,Boeing 777,2x4x2,April 2017,Couple Leisure,0.8,0.6,1.0,0.8,0.6,True,virgin-australia,Virgin Australia,0.6,0.8,,,,,
1.0,0.7,"""recline wasn't much""",2017-01-20,United States,"I sat in a window seat on the left side of the plane in row 15A. The recline wasn't much, but it was enough to get me through the flight from Sydney to Auckland. Overhead bin space was just enough, as was aisle space. The service however was somewhat sub-par, as it took forever for the flight attendants to service beverages.",Economy Class,Boeing 737-800,3x3,January 2017,Solo Leisure,0.6,0.4,0.6,0.6,0.6,True,virgin-australia,Virgin Australia,,,,,,,
0.0,0.9,"""made the journey a delight""",2015-12-22,Australia,"Sans kids on our most recent flight, we decided to upgrade our SYD-LAX return tickets from Economy to Premium Economy Saver fares. Arriving at the Premium Economy check in was a breeze. There was no line and the next Business Class window called us over and processed our documentation. Priority boarding alongside Business Class passengers was wonderful - the FA's call you by name and introduce themselves personally. You are offered champagne, juice or water while the plane loads, then your dinner preference is taken. Our 12J/K seats were a private retreat and we loved being amongst the first to disembark at LAX. Seats were wider, the comfy blankets and a 38"" pitch made the journey a delight. Larger IFE screen, amenity kit and a feeling of reasonable indulgence was our first impression. At over $6k it was probably way more than people would justify - but to us - it was a 14 hour extension of our holiday. The 2 (smallish) dedicated PE restrooms were mostly available throughout the flight, but they were clean which was a huge bonus. Return leg was uneventful, but I hated the middle row of four seats and made sure we booked next year's flights well in advance to get window seats. We didn't hesitate to choose Virgin Australia Premium Economy again, the newer 24 seat configuration and 41"" pitch will be something to get excited about.",Premium Economy,Boeing 777-300,2x4x2,November 2015,Couple Leisure,0.8,0.8,0.8,0.6,0.6,True,virgin-australia,Virgin Australia,0.8,0.8,,,,,
0.0,0.2,"""most miserable airline seats""",2015-11-26,United States,"Brisbane to Dunedin. Been looking forward to it for weeks. The unfriendly and irritable check-in agent changed our already-booked seat numbers (which we had chosen with some consideration) without even telling us - surprise, and I was shocked that my friend had to pay over $100AUD to have his single 6 kg bag checked!  Then we scrunched in for three hours in the smallest, narrowest, most miserable airline seats. The flight attendant got all defensive and huffy when I tactfully pointed out an adult passenger ignoring the fasten seatbelt during heavy turbulence. His seatbelt was hanging into the isle. Basically, she implied it shouldn't be my concern. Having watched people hit the ceiling in turbulence, I felt it was in the interest of safety of other passengers. She didn't say a word to the unbelted passenger.  My first experience with Virgin won't be my last - I'm already booked for two more flights. Please tell me that my 15-hour Virgin Australia flight from BNE to LAX in a few days will not be as miserable as my first. I am just over 6' and weigh 198lbs and admit that I am remembering flying in Australia in the past, but this is shameful. What a disappointment.",Economy Class,Boeing 737-800,3x3,November 2015,Solo Leisure,0.2,0.2,0.2,0.2,0.6,no,virgin-australia,Virgin Australia,,,,,,,
1.0,0.1,"""Chairs very uncomfortable""",2015-11-23,Australia,"Sydney to Perth in Business Class. Very disappointed with Business Class. Seatback entertainment not available. Chairs very uncomfortable for the flight from Sydney to Perth. Usually experience an A330 on this flight which would have been a welcome change. Service was to standards expected but that was the only shining light. Flew Qantas on the return leg - both airlines need to lift their game. To offer Samsung tablets as entertainment and then take over the table space for over half the flight is silly. The aisle was frequently the venue for intimate encounters. Have done this flight many times and enjoyed it immensely - all on the A330, but Virgin dropped the ball by using the Boeing 738, it is too long a journey in such an uncomfortable seat. Without entertainment, there is what you carry aboard to occupy you - not expected in business class. Photo shoes the stuffed toy that came with the child in the window seat. In the photo, the toy was on the floor between the seats in front. For take off and landing, it had to be stowed in an overhead locker for safety.",Premium Economy,Boeing 737-800,"2 x 2 in Business Class, 3 X 3 in Economy",August 2015,Solo Leisure,0.2,0.6,0.4,0.2,0.4,no,virgin-australia,Virgin Australia,,,,,,,
4.0,0.9,"""sufficient leg room""",2015-10-29,Australia,Seat was reasonably comfortable. I had sufficient leg room without putting my knees into the seat in front. A short flight and I didn't test the recline to see how far it would go. For an economy class seat there was sufficient room and comfort for a short flight.,Economy Class,Embraer 190,2x2,October 2015,Solo Leisure,0.8,0.8,1.0,1.0,0.6,True,virgin-australia,Virgin Australia,,,,,,,
0.0,0.6,"""welcome change not to feel so compressed""",2015-01-28,Australia,Mel-Syd. Economy seat 25A. As flight was near full having a window seat was a good choice. Seat width was wider than on an A320A330 or A340 and it was a welcome change not to feel so compressed in terms of the seat area and legroom. The downsides however were the constriction from the left side wall tapered inwards from shin to toe and headroom when standing to get out. Cabin felt dated despite the aircraft being younger than 5 years - this came about due to visible cracks in the plastic fittings as well as rather old looking mould on the seat in front and no tv screens anywhere.,Premium Economy,BOEING 737-800,3x3,,,0.8,0.4,0.8,0.4,,True,virgin-australia,Virgin Australia,0.2,,,,,,
